x0000,y0000
11986000.,-0.041184
11986001.00050025,-0.043472
11986002.0010005,-0.041184
11986003.00150075,-0.052624
11986004.002001,-0.027456
11986005.002501251,-0.03432
11986006.0030015,-0.043472
11986007.00350175,-0.048048
11986008.004002001,-0.036608
11986009.004502252,-0.032032
11986010.0050025,-0.038896
11986011.005502751,-0.027456
11986012.006003002,-0.013728
11986013.006503252,-0.038896
11986014.007003501,-0.025168
11986015.007503752,-0.041184
11986016.008004002,-0.006864
11986017.008504253,-0.041184
11986018.009004502,-0.04576
11986019.009504752,-0.048048
11986020.010005003,-0.0572
11986021.010505253,-0.029744
11986022.011005502,-0.043472
11986023.011505753,0.006864
11986024.012006003,-0.025168
11986025.012506254,-0.025168
11986026.013006503,-0.064064
11986027.013506753,-0.027456
11986028.014007004,-0.025168
11986029.014507253,-0.032032
11986030.015007503,-0.032032
11986031.015507754,-0.038896
11986032.016008005,-0.048048
11986033.016508253,-0.036608
11986034.017008504,-0.025168
11986035.017508755,-0.032032
11986036.018009005,-0.032032
11986037.018509254,-0.036608
11986038.019009504,-0.036608
11986039.019509755,-0.043472
11986040.020010006,-0.02288
11986041.020510254,-0.02288
11986042.021010505,-0.043472
11986043.021510756,-0.032032
11986044.022011006,-0.027456
11986045.022511255,-0.03432
11986046.023011506,-0.038896
11986047.023511756,-0.013728
11986048.024012007,-0.043472
11986049.024512256,-0.032032
11986050.025012506,-0.050336
11986051.025512757,-0.02288
11986052.026013007,-0.043472
11986053.026513256,-0.02288
11986054.027013507,-0.043472
11986055.027513757,-0.03432
11986056.028014006,-0.03432
11986057.028514257,-0.025168
11986058.029014507,-0.009152
11986059.029514758,-0.050336
11986060.030015007,-0.038896
11986061.030515257,-0.048048
11986062.031015508,-0.013728
11986063.031515758,-0.038896
11986064.032016007,-0.059488
11986065.032516258,-0.048048
11986066.033016508,-0.025168
11986067.033516759,-0.025168
11986068.034017008,-0.020592
11986069.034517258,-0.025168
11986070.035017509,-0.025168
11986071.03551776,-0.03432
11986072.036018008,-0.02288
11986073.036518259,-0.041184
11986074.03701851,-0.018304
11986075.03751876,-0.02288
11986076.038019009,-0.025168
11986077.03851926,0.006864
11986078.03901951,-0.009152
11986079.03951976,-0.029744
11986080.04002001,-0.020592
11986081.04052026,-0.032032
11986082.04102051,-0.043472
11986083.04152076,-0.03432
11986084.04202101,-0.013728
11986085.04252126,-0.050336
11986086.043021511,-0.050336
11986087.04352176,-0.036608
11986088.04402201,-0.03432
11986089.044522261,-0.025168
11986090.045022512,-0.025168
11986091.04552276,-0.041184
11986092.046023011,-0.01144
11986093.046523262,-0.020592
11986094.047023512,-0.029744
11986095.047523761,-0.027456
11986096.048024012,-0.027456
11986097.048524262,-0.038896
11986098.049024513,-0.02288
11986099.049524762,-0.025168
11986100.050025012,-0.043472
11986101.050525263,-0.020592
11986102.051025514,-0.050336
11986103.051525762,-0.020592
11986104.052026013,-0.029744
11986105.052526264,-0.032032
11986106.053026514,-0.020592
11986107.053526763,-0.004576
11986108.054027013,-0.036608
11986109.054527264,-0.02288
11986110.055027513,-0.029744
11986111.055527763,-0.029744
11986112.056028014,-0.036608
11986113.056528265,-0.032032
11986114.057028513,-0.004576
11986115.057528764,-0.03432
11986116.058029015,-0.03432
11986117.058529265,-0.01144
11986118.059029514,-0.013728
11986119.059529765,-0.02288
11986120.060030015,-0.032032
11986121.060530266,-0.016016
11986122.061030515,-0.03432
11986123.061530765,-0.050336
11986124.062031016,-0.041184
11986125.062531266,-0.052624
11986126.063031515,-0.04576
11986127.063531766,-0.029744
11986128.064032016,-0.032032
11986129.064532267,-0.027456
11986130.065032516,-0.038896
11986131.065532766,-0.025168
11986132.066033017,-0.018304
11986133.066533267,-0.02288
11986134.067033516,-0.054912
11986135.067533767,-0.02288
11986136.068034017,-0.043472
11986137.068534266,-0.03432
11986138.069034517,-0.018304
11986139.069534767,-0.025168
11986140.070035018,-0.043472
11986141.070535267,-0.038896
11986142.071035517,-0.02288
11986143.071535768,-0.027456
11986144.072036019,-0.03432
11986145.072536267,-0.032032
11986146.073036518,-0.020592
11986147.073536769,-0.025168
11986148.07403702,-0.016016
11986149.074537268,-0.016016
11986150.075037519,-0.04576
11986151.07553777,-0.0572
11986152.07603802,-0.054912
11986153.076538268,-0.041184
11986154.07703852,-0.029744
11986155.07753877,-0.02288
11986156.07803902,-0.038896
11986157.078539269,-0.054912
11986158.07903952,-0.036608
11986159.07953977,-0.020592
11986160.08004002,-0.018304
11986161.08054027,-0.025168
11986162.08104052,-0.038896
11986163.08154077,-0.038896
11986164.082041021,-0.04576
11986165.08254127,-0.029744
11986166.08304152,-0.032032
11986167.083541771,-0.027456
11986168.08404202,-0.02288
11986169.08454227,-0.036608
11986170.085042521,-0.038896
11986171.085542772,-0.029744
11986172.08604302,-0.043472
11986173.086543271,-0.027456
11986174.087043522,-0.02288
11986175.087543773,-0.03432
11986176.088044021,-0.036608
11986177.088544272,-0.043472
11986178.089044522,-0.036608
11986179.089544773,-0.036608
11986180.090045022,-0.027456
11986181.090545272,-0.027456
11986182.091045523,-0.036608
11986183.091545774,-0.020592
11986184.092046022,-0.050336
11986185.092546273,-0.027456
11986186.093046524,-0.01144
11986187.093546774,-0.041184
11986188.094047023,-0.052624
11986189.094547274,-0.025168
11986190.095047524,-0.025168
11986191.095547775,-0.059488
11986192.096048024,-0.032032
11986193.096548274,-0.04576
11986194.097048525,-0.03432
11986195.097548774,-0.025168
11986196.098049024,-0.025168
11986197.098549275,-0.041184
11986198.099049525,-0.041184
11986199.099549774,-0.029744
11986200.100050025,-0.041184
11986201.100550275,-0.027456
11986202.101050526,-0.03432
11986203.101550775,-0.032032
11986204.102051025,-0.01144
11986205.102551276,-0.041184
11986206.103051526,-0.041184
11986207.103551775,-0.020592
11986208.104052026,-0.020592
11986209.104552276,-0.04576
11986210.105052527,-0.03432
11986211.105552776,-0.03432
11986212.106053026,-0.036608
11986213.106553277,-0.038896
11986214.107053528,-0.043472
11986215.107553776,-0.043472
11986216.108054027,-0.027456
11986217.108554278,-0.02288
11986218.109054528,-0.04576
11986219.109554777,-0.02288
11986220.110055028,-0.009152
11986221.110555278,-0.032032
11986222.111055527,-0.018304
11986223.111555777,-0.043472
11986224.112056028,-0.025168
11986225.112556279,-0.018304
11986226.113056527,-0.032032
11986227.113556778,-0.04576
11986228.114057029,-0.029744
11986229.11455728,-0.038896
11986230.115057528,-0.029744
11986231.115557779,-0.036608
11986232.11605803,-0.04576
11986233.11655828,-0.025168
11986234.117058529,-0.027456
11986235.11755878,-0.016016
11986236.11805903,-0.041184
11986237.11855928,-0.036608
11986238.11905953,-0.029744
11986239.11955978,-0.041184
11986240.12006003,-0.038896
11986241.120560281,-0.048048
11986242.12106053,-0.025168
11986243.12156078,-0.050336
11986244.122061031,-0.041184
11986245.122561282,-0.029744
11986246.12306153,-0.004576
11986247.12356178,-0.029744
11986248.124062032,-0.03432
11986249.12456228,-0.054912
11986250.12506253,-0.03432
11986251.125562781,-0.03432
11986252.126063032,-0.020592
11986253.12656328,-0.020592
11986254.127063531,-0.02288
11986255.127563782,-0.032032
11986256.128064033,-0.036608
11986257.128564281,-0.025168
11986258.129064532,-0.016016
11986259.129564783,-0.006864
11986260.130065033,-0.029744
11986261.130565282,-0.018304
11986262.131065533,-0.018304
11986263.131565783,-0.04576
11986264.132066034,-0.020592
11986265.132566283,-0.029744
11986266.133066533,-0.027456
11986267.133566784,-0.043472
11986268.134067034,-0.020592
11986269.134567283,-0.032032
11986270.135067534,-0.016016
11986271.135567784,-0.050336
11986272.136068035,-0.04576
11986273.136568284,-0.027456
11986274.137068534,-0.054912
11986275.137568785,-0.029744
11986276.138069034,-0.03432
11986277.138569284,-0.032032
11986278.139069535,-0.04576
11986279.139569785,-0.027456
11986280.140070034,-0.029744
11986281.140570285,-0.036608
11986282.141070535,-0.020592
11986283.141570786,-0.02288
11986284.142071035,-0.018304
11986285.142571285,-0.036608
11986286.143071536,-0.036608
11986287.143571787,-0.038896
11986288.144072035,-0.032032
11986289.144572286,-0.025168
11986290.145072537,-0.032032
11986291.145572787,-0.043472
11986292.146073036,-0.020592
11986293.146573287,-0.029744
11986294.147073537,-0.04576
11986295.147573788,-0.02288
11986296.148074036,-0.04576
11986297.148574287,-0.032032
11986298.149074538,-0.036608
11986299.149574788,-0.041184
11986300.150075037,-0.03432
11986301.150575288,-0.02288
11986302.151075538,-0.025168
11986303.151575787,-0.032032
11986304.152076038,-0.020592
11986305.152576288,-0.027456
11986306.153076539,-0.027456
11986307.153576788,-0.036608
11986308.154077038,-0.02288
11986309.154577289,-0.041184
11986310.15507754,-0.027456
11986311.155577788,-0.050336
11986312.156078039,-0.043472
11986313.15657829,-0.04576
11986314.15707854,-0.041184
11986315.157578789,-0.018304
11986316.15807904,-0.038896
11986317.15857929,-0.032032
11986318.15907954,-0.029744
11986319.15957979,-0.036608
11986320.16008004,-0.052624
11986321.16058029,-0.036608
11986322.161080541,-0.03432
11986323.16158079,-0.032032
11986324.16208104,-0.043472
11986325.162581291,-0.054912
11986326.163081542,-0.020592
11986327.16358179,-0.038896
11986328.164082041,-0.04576
11986329.164582292,-0.029744
11986330.16508254,-0.050336
11986331.165582791,-0.029744
11986332.166083042,-0.020592
11986333.166583292,-0.038896
11986334.167083541,-0.038896
11986335.167583792,-0.054912
11986336.168084042,-0.036608
11986337.168584293,-0.032032
11986338.169084541,-0.032032
11986339.169584792,-0.013728
11986340.170085043,-0.036608
11986341.170585293,-0.050336
11986342.171085542,-0.025168
11986343.171585793,-0.018304
11986344.172086043,-0.027456
11986345.172586294,-0.016016
11986346.173086543,-0.027456
11986347.173586793,-0.027456
11986348.174087044,-0.025168
11986349.174587294,-0.02288
11986350.175087543,-0.020592
11986351.175587794,-0.025168
11986352.176088044,-0.027456
11986353.176588295,-0.020592
11986354.177088544,0.
11986355.177588794,-0.027456
11986356.178089045,-0.009152
11986357.178589294,-0.016016
11986358.179089544,-0.009152
11986359.179589795,0.025168
11986360.180090046,0.01144
11986361.180590294,0.013728
11986362.181090545,-0.006864
11986363.181590796,0.004576
11986364.182091046,0.002288
11986365.182591295,0.018304
11986366.183091545,0.009152
11986367.183591796,0.048048
11986368.184092047,0.027456
11986369.184592295,0.004576
11986370.185092546,0.013728
11986371.185592797,0.013728
11986372.186093047,0.01144
11986373.186593296,0.018304
11986374.187093547,0.052624
11986375.187593797,0.020592
11986376.188094048,0.041184
11986377.188594297,0.009152
11986378.189094547,0.020592
11986379.189594798,0.018304
11986380.190095048,0.006864
11986381.190595297,0.027456
11986382.191095548,0.004576
11986383.191595798,0.018304
11986384.192096047,0.013728
11986385.192596298,0.036608
11986386.193096548,0.009152
11986387.193596799,0.018304
11986388.194097048,-0.002288
11986389.194597298,0.027456
11986390.195097549,0.027456
11986391.1955978,0.02288
11986392.196098048,0.038896
11986393.196598299,0.013728
11986394.19709855,0.013728
11986395.1975988,0.
11986396.198099049,0.002288
11986397.1985993,0.013728
11986398.19909955,0.016016
11986399.1995998,0.018304
11986400.20010005,0.020592
11986401.2006003,0.020592
11986402.20110055,0.01144
11986403.201600801,0.004576
11986404.20210105,0.016016
11986405.2026013,0.027456
11986406.203101551,0.029744
11986407.203601802,0.006864
11986408.20410205,0.002288
11986409.204602301,0.002288
11986410.205102552,0.027456
11986411.2056028,0.02288
11986412.206103051,0.027456
11986413.206603302,0.018304
11986414.207103552,0.009152
11986415.207603801,0.020592
11986416.208104052,0.038896
11986417.208604302,0.03432
11986418.209104553,0.041184
11986419.209604802,-0.009152
11986420.210105052,0.018304
11986421.210605303,0.029744
11986422.211105553,0.041184
11986423.211605802,0.02288
11986424.212106053,0.036608
11986425.212606303,0.018304
11986426.213106554,0.041184
11986427.213606803,0.018304
11986428.214107053,0.013728
11986429.214607304,0.016016
11986430.215107555,0.04576
11986431.215607803,0.020592
11986432.216108054,0.020592
11986433.216608305,0.025168
11986434.217108555,0.009152
11986435.217608804,0.004576
11986436.218109054,0.038896
11986437.218609305,0.020592
11986438.219109556,0.009152
11986439.219609804,0.016016
11986440.220110055,0.009152
11986441.220610306,0.020592
11986442.221110554,0.029744
11986443.221610805,0.013728
11986444.222111056,0.025168
11986445.222611306,0.02288
11986446.223111555,0.025168
11986447.223611806,-0.004576
11986448.224112056,0.018304
11986449.224612307,0.027456
11986450.225112556,0.013728
11986451.225612806,0.020592
11986452.226113057,0.03432
11986453.226613307,0.002288
11986454.227113556,0.01144
11986455.227613807,0.01144
11986456.228114057,0.016016
11986457.228614308,0.041184
11986458.229114557,0.006864
11986459.229614807,0.02288
11986460.230115058,0.020592
11986461.230615309,0.006864
11986462.231115557,0.01144
11986463.231615808,0.020592
11986464.232116058,0.016016
11986465.23261631,0.032032
11986466.233116558,0.004576
11986467.233616808,0.009152
11986468.234117059,0.004576
11986469.234617308,0.004576
11986470.235117558,0.04576
11986471.235617809,0.029744
11986472.23611806,0.027456
11986473.236618308,0.004576
11986474.237118559,0.020592
11986475.23761881,0.029744
11986476.23811906,0.013728
