x0000,y0000
25416000.,-10.966384
25416001.00050025,-11.002992
25416002.0010005,-11.009856
25416003.00150075,-11.012144
25416004.002001,-11.00528
25416005.00250125,-11.009856
25416006.0030015,-10.991552
25416007.00350175,-11.02816
25416008.004002,-11.00528
25416009.00450225,-10.984688
25416010.005002502,-10.996128
25416011.005502753,-11.032736
25416012.006003,-11.012144
25416013.00650325,-11.02816
25416014.0070035,-10.966384
25416015.00750375,-11.046464
25416016.008004002,-10.954944
25416017.008504253,-11.009856
25416018.009004503,-11.007568
25416019.009504754,-11.055616
25416020.010005,-10.95952
25416021.01050525,-11.012144
25416022.011005502,-11.021296
25416023.011505753,-10.998416
25416024.012006003,-11.025872
25416025.012506254,-10.991552
25416026.013006505,-10.980112
25416027.013506755,-11.009856
25416028.014007002,-10.973248
25416029.014507253,-10.998416
25416030.015007503,-11.009856
25416031.015507754,-11.041888
25416032.016008005,-11.048752
25416033.016508255,-11.041888
25416034.017008506,-10.975536
25416035.017508753,-11.025872
25416036.018009003,-11.055616
25416037.018509254,-11.012144
25416038.019009504,-11.014432
25416039.019509755,-10.966384
25416040.020010006,-11.002992
25416041.020510256,-11.057904
25416042.021010507,-11.025872
25416043.021510754,-11.057904
25416044.022011004,-10.97096
25416045.022511255,-11.01672
25416046.023011506,-11.014432
25416047.023511756,-10.998416
25416048.024012007,-11.000704
25416049.024512257,-11.021296
25416050.025012508,-10.99384
25416051.025512755,-10.991552
25416052.026013006,-11.030448
25416053.026513256,-10.950368
25416054.027013507,-10.975536
25416055.027513757,-10.991552
25416056.028014008,-10.973248
25416057.02851426,-10.989264
25416058.029014505,-11.00528
25416059.029514756,-10.984688
25416060.030015007,-11.025872
25416061.030515257,-11.041888
25416062.031015508,-11.00528
25416063.03151576,-10.998416
25416064.03201601,-11.037312
25416065.03251626,-11.02816
25416066.033016507,-11.002992
25416067.033516757,-10.996128
25416068.034017008,-10.968672
25416069.03451726,-10.984688
25416070.03501751,-11.037312
25416071.03551776,-10.9824
25416072.03601801,-10.991552
25416073.03651826,-11.00528
25416074.037018508,-10.984688
25416075.03751876,-10.977824
25416076.03801901,-11.057904
25416077.03851926,-11.014432
25416078.03901951,-11.002992
25416079.03951976,-10.99384
25416080.04002001,-11.025872
25416081.040520262,-10.97096
25416082.04102051,-11.002992
25416083.04152076,-10.966384
25416084.04202101,-10.991552
25416085.04252126,-11.035024
25416086.04302151,-11.002992
25416087.043521762,-11.009856
25416088.044022013,-10.989264
25416089.04452226,-10.966384
25416090.04502251,-11.007568
25416091.04552276,-10.922912
25416092.04602301,-10.989264
25416093.04652326,-10.99384
25416094.047023512,-11.002992
25416095.047523763,-11.014432
25416096.048024014,-11.012144
25416097.04852426,-11.009856
25416098.04902451,-10.97096
25416099.04952476,-10.984688
25416100.050025012,-11.057904
25416101.050525263,-11.030448
25416102.051025514,-11.044176
25416103.051525764,-10.968672
25416104.052026015,-11.002992
25416105.05252626,-11.035024
25416106.053026512,-10.980112
25416107.053526763,-10.996128
25416108.054027013,-10.991552
25416109.054527264,-11.014432
25416110.055027515,-10.973248
25416111.055527765,-10.996128
25416112.056028012,-11.014432
25416113.056528263,-11.023584
25416114.057028513,-10.996128
25416115.057528764,-11.037312
25416116.058029015,-10.986976
25416117.058529265,-11.012144
25416118.059029516,-11.00528
25416119.059529766,-11.00528
25416120.060030013,-10.998416
25416121.060530264,-10.9824
25416122.061030515,-11.000704
25416123.061530765,-11.06248
25416124.062031016,-11.01672
25416125.062531266,-11.032736
25416126.063031517,-10.989264
25416127.063531768,-11.025872
25416128.064032014,-11.021296
25416129.064532265,-11.009856
