x0000,y0000
25416000.,-0.89232
25416001.00050025,-0.901472
25416002.0010005,-0.908336
25416003.00150075,-0.908336
25416004.002001,-0.954096
25416005.00250125,-0.92664
25416006.0030015,-0.910624
25416007.00350175,-0.878592
25416008.004002,-0.910624
25416009.00450225,-0.931216
25416010.005002502,-0.906048
25416011.005502753,-0.956384
25416012.006003,-0.92664
25416013.00650325,-0.901472
25416014.0070035,-0.874016
25416015.00750375,-0.883168
25416016.008004002,-0.885456
25416017.008504253,-0.9152
25416018.009004503,-0.88088
25416019.009504754,-0.901472
25416020.010005,-0.917488
25416021.01050525,-0.887744
25416022.011005502,-0.88088
25416023.011505753,-0.89232
25416024.012006003,-0.841984
25416025.012506254,-0.924352
25416026.013006505,-0.92664
25416027.013506755,-0.910624
25416028.014007002,-0.894608
25416029.014507253,-0.867152
25416030.015007503,-0.947232
25416031.015507754,-0.864864
25416032.016008005,-0.912912
25416033.016508255,-0.93808
25416034.017008506,-0.894608
25416035.017508753,-0.919776
25416036.018009003,-0.896896
25416037.018509254,-0.917488
25416038.019009504,-0.860288
25416039.019509755,-0.935792
25416040.020010006,-0.858
25416041.020510256,-0.860288
25416042.021010507,-0.940368
25416043.021510754,-0.9152
25416044.022011004,-0.906048
25416045.022511255,-0.878592
25416046.023011506,-0.93808
25416047.023511756,-0.871728
25416048.024012007,-0.92664
25416049.024512257,-0.890032
25416050.025012508,-0.858
25416051.025512755,-0.906048
25416052.026013006,-0.94952
25416053.026513256,-0.928928
25416054.027013507,-0.90376
25416055.027513757,-0.912912
25416056.028014008,-0.944944
25416057.02851426,-0.935792
25416058.029014505,-0.933504
25416059.029514756,-0.906048
25416060.030015007,-0.890032
25416061.030515257,-0.919776
25416062.031015508,-0.917488
25416063.03151576,-0.867152
25416064.03201601,-0.88088
25416065.03251626,-0.894608
25416066.033016507,-0.93808
25416067.033516757,-0.883168
25416068.034017008,-0.93808
25416069.03451726,-0.9152
25416070.03501751,-0.841984
25416071.03551776,-0.96096
25416072.03601801,-0.922064
25416073.03651826,-0.876304
25416074.037018508,-0.885456
25416075.03751876,-0.841984
25416076.03801901,-0.910624
25416077.03851926,-0.9152
25416078.03901951,-0.901472
25416079.03951976,-0.89232
25416080.04002001,-0.910624
25416081.040520262,-0.96096
25416082.04102051,-0.922064
25416083.04152076,-0.912912
25416084.04202101,-0.931216
25416085.04252126,-0.92664
25416086.04302151,-0.928928
25416087.043521762,-0.901472
25416088.044022013,-0.874016
25416089.04452226,-0.876304
25416090.04502251,-0.906048
25416091.04552276,-0.92664
25416092.04602301,-0.876304
25416093.04652326,-0.919776
25416094.047023512,-0.931216
25416095.047523763,-0.912912
25416096.048024014,-0.910624
25416097.04852426,-0.885456
25416098.04902451,-0.954096
25416099.04952476,-0.958672
25416100.050025012,-0.876304
25416101.050525263,-0.93808
25416102.051025514,-0.90376
25416103.051525764,-0.917488
25416104.052026015,-0.848848
25416105.05252626,-0.88088
25416106.053026512,-0.901472
25416107.053526763,-0.931216
25416108.054027013,-0.90376
25416109.054527264,-0.928928
25416110.055027515,-0.887744
25416111.055527765,-0.9152
25416112.056028012,-0.885456
25416113.056528263,-0.912912
25416114.057028513,-0.933504
25416115.057528764,-0.912912
25416116.058029015,-0.919776
25416117.058529265,-0.947232
25416118.059029516,-0.908336
25416119.059529766,-0.93808
25416120.060030013,-0.896896
25416121.060530264,-0.917488
25416122.061030515,-0.928928
25416123.061530765,-0.871728
25416124.062031016,-0.94952
25416125.062531266,-0.885456
25416126.063031517,-0.894608
25416127.063531768,-0.908336
25416128.064032014,-0.906048
25416129.064532265,-0.919776
25416130.065032516,-0.885456
25416131.065532766,-0.940368
25416132.066033017,-0.885456
25416133.066533267,-0.89232
25416134.067033518,-0.867152
25416135.06753377,-0.944944
25416136.068034016,-0.935792
25416137.068534266,-0.947232
25416138.069034517,-0.922064
25416139.069534767,-0.885456
25416140.070035018,-0.887744
25416141.07053527,-0.919776
25416142.07103552,-0.894608
25416143.071535766,-0.951808
25416144.072036017,-0.931216
25416145.072536267,-0.894608
25416146.073036518,-0.896896
25416147.07353677,-0.947232
25416148.07403702,-0.867152
25416149.07453727,-0.912912
25416150.07503752,-0.899184
25416151.075537767,-0.9152
25416152.076038018,-0.887744
25416153.07653827,-0.894608
25416154.07703852,-0.86944
25416155.07753877,-0.887744
25416156.07803902,-0.908336
25416157.07853927,-0.928928
25416158.07903952,-0.896896
25416159.07953977,-0.928928
25416160.08004002,-0.919776
25416161.08054027,-0.919776
25416162.08104052,-0.910624
25416163.08154077,-0.896896
25416164.08204102,-0.86944
25416165.082541272,-0.9152
25416166.08304152,-0.947232
25416167.08354177,-0.92664
25416168.08404202,-0.885456
25416169.08454227,-0.906048
25416170.08504252,-0.899184
25416171.085542772,-0.933504
25416172.086043023,-0.906048
25416173.086543273,-0.93808
25416174.08704352,-0.947232
25416175.08754377,-0.910624
25416176.08804402,-0.89232
25416177.088544272,-0.94952
25416178.089044522,-0.912912
25416179.089544773,-0.912912
25416180.090045024,-0.871728
25416181.090545274,-0.906048
25416182.09104552,-0.876304
25416183.09154577,-0.931216
25416184.092046022,-0.912912
25416185.092546273,-0.919776
25416186.093046524,-0.917488
25416187.093546774,-0.947232
25416188.094047025,-0.917488
25416189.094547275,-0.894608
25416190.095047522,-0.890032
25416191.095547773,-0.853424
25416192.096048024,-0.84656
25416193.096548274,-0.887744
25416194.097048525,-0.896896
25416195.097548775,-0.860288
25416196.098049026,-0.94952
25416197.098549273,-0.9152
25416198.099049523,-0.887744
25416199.099549774,-0.910624
25416200.100050025,-0.940368
25416201.100550275,-0.90376
25416202.101050526,-0.935792
25416203.101550777,-0.894608
25416204.102051027,-0.917488
25416205.102551274,-0.906048
25416206.103051525,-0.871728
25416207.103551775,-0.908336
25416208.104052026,-0.924352
25416209.104552276,-0.906048
25416210.105052527,-0.896896
25416211.105552778,-0.931216
25416212.10605303,-0.942656
25416213.106553275,-0.899184
25416214.107053526,-0.890032
25416215.107553776,-0.90376
25416216.108054027,-0.924352
25416217.108554278,-0.942656
25416218.10905453,-0.974688
25416219.10955478,-0.908336
25416220.110055026,-0.878592
25416221.110555276,-0.942656
25416222.111055527,-0.912912
25416223.111555777,-0.93808
25416224.112056028,-0.883168
25416225.11255628,-0.901472
25416226.11305653,-0.878592
25416227.11355678,-0.894608
25416228.114057027,-0.951808
25416229.114557277,-0.94952
25416230.115057528,-0.912912
25416231.11555778,-0.906048
25416232.11605803,-0.94952
25416233.11655828,-0.947232
25416234.11705853,-0.871728
25416235.11755878,-0.896896
25416236.118059028,-0.924352
25416237.11855928,-0.912912
25416238.11905953,-0.906048
25416239.11955978,-0.9724
25416240.12006003,-0.899184
25416241.12056028,-0.899184
25416242.12106053,-0.896896
25416243.121560782,-0.908336
25416244.12206103,-0.912912
25416245.12256128,-0.9152
25416246.12306153,-0.912912
25416247.12356178,-0.885456
25416248.12406203,-0.92664
25416249.124562282,-0.899184
25416250.125062533,-0.851136
25416251.12556278,-0.885456
25416252.12606303,-0.951808
25416253.12656328,-0.9152
25416254.12706353,-0.935792
25416255.127563782,-0.951808
25416256.128064033,-0.885456
25416257.128564283,-0.906048
25416258.129064534,-0.970112
25416259.12956478,-0.917488
25416260.13006503,-0.933504
25416261.130565282,-0.908336
25416262.131065533,-0.864864
25416263.131565783,-0.917488
25416264.132066034,-0.917488
25416265.132566284,-0.901472
25416266.133066535,-0.885456
25416267.133566782,-0.956384
25416268.134067032,-0.890032
25416269.134567283,-0.883168
25416270.135067534,-0.912912
25416271.135567784,-0.910624
25416272.136068035,-0.890032
25416273.136568286,-0.910624
25416274.137068532,-0.93808
25416275.137568783,-0.924352
25416276.138069034,-0.874016
25416277.138569284,-0.885456
25416278.139069535,-0.910624
25416279.139569785,-0.931216
25416280.140070036,-0.887744
25416281.140570287,-0.90376
25416282.141070534,-0.919776
25416283.141570784,-0.935792
25416284.142071035,-0.874016
25416285.142571285,-0.89232
25416286.143071536,-0.896896
25416287.143571787,-0.963248
25416288.144072037,-0.908336
25416289.144572288,-0.940368
25416290.145072535,-0.9152
25416291.145572785,-0.9152
25416292.146073036,-0.894608
25416293.146573287,-0.88088
