x0000,y0000
17466000.,-0.6292
17466001.00050025,-0.601744
17466002.0010005,-0.647504
17466003.00150075,-0.672672
17466004.002001,-0.613184
17466005.00250125,-0.608608
17466006.0030015,-0.597168
17466007.00350175,-0.690976
17466008.004002,-0.613184
17466009.00450225,-0.620048
17466010.005002502,-0.633776
17466011.005502753,-0.631488
17466012.006003,-0.649792
17466013.00650325,-0.66352
17466014.0070035,-0.65208
17466015.00750375,-0.601744
17466016.008004002,-0.631488
17466017.008504253,-0.65208
17466018.009004503,-0.622336
17466019.009504754,-0.610896
17466020.010005,-0.636064
17466021.01050525,-0.597168
17466022.011005502,-0.615472
17466023.011505753,-0.645216
17466024.012006003,-0.608608
17466025.012506254,-0.578864
17466026.013006505,-0.638352
17466027.013506755,-0.608608
17466028.014007002,-0.60632
17466029.014507253,-0.66352
17466030.015007503,-0.608608
17466031.015507754,-0.576576
17466032.016008005,-0.590304
17466033.016508255,-0.613184
17466034.017008506,-0.645216
17466035.017508753,-0.590304
17466036.018009003,-0.622336
17466037.018509254,-0.592592
17466038.019009504,-0.633776
17466039.019509755,-0.65208
17466040.020010006,-0.60632
17466041.020510256,-0.636064
17466042.021010507,-0.6864
17466043.021510754,-0.608608
17466044.022011004,-0.64064
17466045.022511255,-0.670384
17466046.023011506,-0.633776
17466047.023511756,-0.665808
17466048.024012007,-0.661232
17466049.024512257,-0.679536
17466050.025012508,-0.688688
17466051.025512755,-0.677248
17466052.026013006,-0.592592
17466053.026513256,-0.656656
17466054.027013507,-0.679536
17466055.027513757,-0.649792
17466056.028014008,-0.67496
17466057.02851426,-0.688688
17466058.029014505,-0.665808
17466059.029514756,-0.665808
17466060.030015007,-0.684112
17466061.030515257,-0.704704
17466062.031015508,-0.716144
17466063.03151576,-0.688688
17466064.03201601,-0.6864
17466065.03251626,-0.672672
17466066.033016507,-0.713856
17466067.033516757,-0.684112
17466068.034017008,-0.69784
17466069.03451726,-0.670384
17466070.03501751,-0.718432
17466071.03551776,-0.706992
17466072.03601801,-0.658944
17466073.03651826,-0.670384
17466074.037018508,-0.66352
17466075.03751876,-0.700128
17466076.03801901,-0.690976
17466077.03851926,-0.695552
17466078.03901951,-0.66352
17466079.03951976,-0.688688
17466080.04002001,-0.677248
17466081.040520262,-0.677248
17466082.04102051,-0.672672
17466083.04152076,-0.734448
17466084.04202101,-0.700128
17466085.04252126,-0.670384
17466086.04302151,-0.727584
17466087.043521762,-0.716144
17466088.044022013,-0.729872
17466089.04452226,-0.693264
17466090.04502251,-0.6864
17466091.04552276,-0.654368
17466092.04602301,-0.684112
17466093.04652326,-0.688688
17466094.047023512,-0.66352
17466095.047523763,-0.613184
17466096.048024014,-0.700128
17466097.04852426,-0.700128
17466098.04902451,-0.684112
17466099.04952476,-0.704704
17466100.050025012,-0.67496
