x0000,y0000
17466000.,-0.167024
17466001.00050025,-0.132704
17466002.0010005,-0.16016
17466003.00150075,-0.162448
17466004.002001,-0.173888
17466005.00250125,-0.167024
17466006.0030015,-0.130416
17466007.00350175,-0.1144
17466008.004002,-0.164736
17466009.00450225,-0.139568
17466010.005002502,-0.13728
17466011.005502753,-0.123552
17466012.006003,-0.162448
17466013.00650325,-0.19448
17466014.0070035,-0.180752
17466015.00750375,-0.153296
17466016.008004002,-0.14872
17466017.008504253,-0.16016
17466018.009004503,-0.203632
17466019.009504754,-0.155584
17466020.010005,-0.123552
17466021.01050525,-0.14872
17466022.011005502,-0.157872
17466023.011505753,-0.189904
17466024.012006003,-0.144144
17466025.012506254,-0.134992
17466026.013006505,-0.14872
17466027.013506755,-0.151008
17466028.014007002,-0.167024
17466029.014507253,-0.139568
17466030.015007503,-0.164736
17466031.015507754,-0.107536
17466032.016008005,-0.189904
17466033.016508255,-0.112112
17466034.017008506,-0.146432
17466035.017508753,-0.121264
17466036.018009003,-0.121264
17466037.018509254,-0.128128
17466038.019009504,-0.1716
17466039.019509755,-0.130416
17466040.020010006,-0.132704
17466041.020510256,-0.09152
17466042.021010507,-0.08008
17466043.021510754,-0.173888
17466044.022011004,-0.112112
17466045.022511255,-0.096096
17466046.023011506,-0.162448
17466047.023511756,-0.132704
17466048.024012007,-0.128128
17466049.024512257,-0.173888
17466050.025012508,-0.155584
17466051.025512755,-0.167024
17466052.026013006,-0.208208
17466053.026513256,-0.132704
17466054.027013507,-0.167024
17466055.027513757,-0.18304
17466056.028014008,-0.14872
17466057.02851426,-0.164736
17466058.029014505,-0.180752
17466059.029514756,-0.192192
17466060.030015007,-0.235664
17466061.030515257,-0.192192
17466062.031015508,-0.208208
17466063.03151576,-0.20592
17466064.03201601,-0.178464
17466065.03251626,-0.185328
17466066.033016507,-0.146432
17466067.033516757,-0.13728
17466068.034017008,-0.155584
17466069.03451726,-0.192192
17466070.03501751,-0.167024
17466071.03551776,-0.199056
17466072.03601801,-0.1716
17466073.03651826,-0.173888
17466074.037018508,-0.16016
17466075.03751876,-0.123552
17466076.03801901,-0.134992
17466077.03851926,-0.19448
17466078.03901951,-0.199056
17466079.03951976,-0.173888
17466080.04002001,-0.128128
17466081.040520262,-0.157872
17466082.04102051,-0.208208
17466083.04152076,-0.199056
17466084.04202101,-0.185328
17466085.04252126,-0.139568
17466086.04302151,-0.196768
17466087.043521762,-0.215072
17466088.044022013,-0.215072
17466089.04452226,-0.189904
17466090.04502251,-0.19448
17466091.04552276,-0.162448
17466092.04602301,-0.189904
17466093.04652326,-0.210496
17466094.047023512,-0.132704
17466095.047523763,-0.167024
17466096.048024014,-0.178464
17466097.04852426,-0.199056
17466098.04902451,-0.176176
17466099.04952476,-0.157872
17466100.050025012,-0.116688
17466101.050525263,-0.192192
17466102.051025514,-0.208208
17466103.051525764,-0.167024
17466104.052026015,-0.224224
17466105.05252626,-0.196768
17466106.053026512,-0.14872
17466107.053526763,-0.180752
17466108.054027013,-0.176176
17466109.054527264,-0.178464
17466110.055027515,-0.176176
17466111.055527765,-0.20592
17466112.056028012,-0.203632
17466113.056528263,-0.146432
17466114.057028513,-0.199056
17466115.057528764,-0.185328
17466116.058029015,-0.144144
17466117.058529265,-0.178464
17466118.059029516,-0.189904
17466119.059529766,-0.176176
17466120.060030013,-0.164736
17466121.060530264,-0.192192
17466122.061030515,-0.19448
17466123.061530765,-0.139568
17466124.062031016,-0.185328
17466125.062531266,-0.139568
17466126.063031517,-0.176176
17466127.063531768,-0.169312
17466128.064032014,-0.176176
17466129.064532265,-0.164736
17466130.065032516,-0.210496
17466131.065532766,-0.164736
17466132.066033017,-0.18304
17466133.066533267,-0.16016
17466134.067033518,-0.212784
17466135.06753377,-0.203632
17466136.068034016,-0.192192
17466137.068534266,-0.178464
17466138.069034517,-0.164736
17466139.069534767,-0.210496
17466140.070035018,-0.1716
17466141.07053527,-0.16016
17466142.07103552,-0.130416
17466143.071535766,-0.173888
17466144.072036017,-0.134992
17466145.072536267,-0.157872
17466146.073036518,-0.153296
17466147.07353677,-0.14872
17466148.07403702,-0.1716
17466149.07453727,-0.167024
17466150.07503752,-0.157872
17466151.075537767,-0.176176
17466152.076038018,-0.1716
17466153.07653827,-0.219648
17466154.07703852,-0.189904
17466155.07753877,-0.162448
17466156.07803902,-0.226512
17466157.07853927,-0.221936
17466158.07903952,-0.212784
17466159.07953977,-0.18304
17466160.08004002,-0.176176
17466161.08054027,-0.134992
17466162.08104052,-0.167024
17466163.08154077,-0.173888
17466164.08204102,-0.164736
17466165.082541272,-0.20592
17466166.08304152,-0.212784
17466167.08354177,-0.169312
17466168.08404202,-0.187616
17466169.08454227,-0.157872
17466170.08504252,-0.189904
17466171.085542772,-0.164736
17466172.086043023,-0.192192
17466173.086543273,-0.16016
17466174.08704352,-0.173888
17466175.08754377,-0.18304
17466176.08804402,-0.176176
17466177.088544272,-0.215072
17466178.089044522,-0.18304
17466179.089544773,-0.189904
17466180.090045024,-0.226512
17466181.090545274,-0.173888
17466182.09104552,-0.199056
17466183.09154577,-0.178464
17466184.092046022,-0.151008
17466185.092546273,-0.141856
17466186.093046524,-0.19448
17466187.093546774,-0.146432
17466188.094047025,-0.1716
17466189.094547275,-0.164736
17466190.095047522,-0.167024
17466191.095547773,-0.20592
17466192.096048024,-0.153296
17466193.096548274,-0.173888
17466194.097048525,-0.19448
17466195.097548775,-0.146432
17466196.098049026,-0.196768
17466197.098549273,-0.19448
17466198.099049523,-0.167024
17466199.099549774,-0.1716
17466200.100050025,-0.13728
17466201.100550275,-0.212784
17466202.101050526,-0.14872
17466203.101550777,-0.16016
17466204.102051027,-0.162448
17466205.102551274,-0.176176
17466206.103051525,-0.189904
17466207.103551775,-0.219648
17466208.104052026,-0.210496
17466209.104552276,-0.173888
17466210.105052527,-0.201344
17466211.105552778,-0.173888
17466212.10605303,-0.201344
17466213.106553275,-0.173888
17466214.107053526,-0.134992
17466215.107553776,-0.157872
17466216.108054027,-0.237952
17466217.108554278,-0.18304
17466218.10905453,-0.199056
17466219.10955478,-0.19448
17466220.110055026,-0.173888
17466221.110555276,-0.130416
17466222.111055527,-0.151008
17466223.111555777,-0.151008
17466224.112056028,-0.164736
17466225.11255628,-0.132704
17466226.11305653,-0.153296
17466227.11355678,-0.169312
17466228.114057027,-0.128128
17466229.114557277,-0.151008
17466230.115057528,-0.151008
17466231.11555778,-0.139568
