x0000,y0000
17466000.,2.363504
17466001.00050025,2.370368
17466002.0010005,2.372656
17466003.00150075,2.388672
17466004.002001,2.370368
17466005.00250125,2.37952
17466006.0030015,2.349776
17466007.00350175,2.363504
17466008.004002,2.36808
17466009.00450225,2.370368
17466010.005002502,2.36808
17466011.005502753,2.372656
17466012.006003,2.370368
17466013.00650325,2.361216
17466014.0070035,2.372656
17466015.00750375,2.37952
17466016.008004002,2.352064
17466017.008504253,2.35664
17466018.009004503,2.374944
17466019.009504754,2.361216
17466020.010005,2.39096
17466021.01050525,2.370368
17466022.011005502,2.377232
17466023.011505753,2.36808
17466024.012006003,2.365792
17466025.012506254,2.363504
17466026.013006505,2.363504
17466027.013506755,2.331472
17466028.014007002,2.35664
17466029.014507253,2.3452
17466030.015007503,2.370368
17466031.015507754,2.374944
17466032.016008005,2.363504
17466033.016508255,2.363504
17466034.017008506,2.352064
17466035.017508753,2.361216
17466036.018009003,2.36808
17466037.018509254,2.395536
17466038.019009504,2.37952
17466039.019509755,2.400112
17466040.020010006,2.4024
17466041.020510256,2.406976
17466042.021010507,2.418416
17466043.021510754,2.418416
17466044.022011004,2.429856
17466045.022511255,2.420704
17466046.023011506,2.441296
17466047.023511756,2.43672
17466048.024012007,2.452736
17466049.024512257,2.466464
17466050.025012508,2.445872
17466051.025512755,2.427568
17466052.026013006,2.441296
17466053.026513256,2.461888
17466054.027013507,2.420704
17466055.027513757,2.422992
17466056.028014008,2.416128
17466057.02851426,2.455024
17466058.029014505,2.42528
17466059.029514756,2.4024
17466060.030015007,2.434432
17466061.030515257,2.432144
17466062.031015508,2.42528
17466063.03151576,2.416128
17466064.03201601,2.41384
17466065.03251626,2.422992
17466066.033016507,2.400112
17466067.033516757,2.400112
17466068.034017008,2.404688
17466069.03451726,2.416128
17466070.03501751,2.406976
17466071.03551776,2.41384
17466072.03601801,2.42528
17466073.03651826,2.418416
17466074.037018508,2.404688
17466075.03751876,2.420704
17466076.03801901,2.420704
17466077.03851926,2.434432
17466078.03901951,2.404688
17466079.03951976,2.4024
17466080.04002001,2.404688
17466081.040520262,2.420704
17466082.04102051,2.416128
17466083.04152076,2.406976
17466084.04202101,2.422992
17466085.04252126,2.42528
17466086.04302151,2.404688
17466087.043521762,2.39096
17466088.044022013,2.411552
17466089.04452226,2.406976
17466090.04502251,2.42528
17466091.04552276,2.427568
17466092.04602301,2.422992
17466093.04652326,2.388672
17466094.047023512,2.416128
17466095.047523763,2.41384
17466096.048024014,2.411552
17466097.04852426,2.406976
17466098.04902451,2.418416
17466099.04952476,2.409264
17466100.050025012,2.422992
17466101.050525263,2.42528
17466102.051025514,2.393248
17466103.051525764,2.395536
17466104.052026015,2.393248
17466105.05252626,2.4024
17466106.053026512,2.420704
17466107.053526763,2.429856
17466108.054027013,2.409264
17466109.054527264,2.416128
17466110.055027515,2.420704
17466111.055527765,2.434432
17466112.056028012,2.400112
17466113.056528263,2.409264
17466114.057028513,2.427568
17466115.057528764,2.404688
17466116.058029015,2.432144
