x0000,y0000
253500.,-0.54912
253501.002004008,-0.402688
253502.0040080160,-0.347776
253503.0060120240,-0.530816
253504.0080160321,-0.530816
253505.0100200401,-0.18304
253506.0120240481,-0.18304
253507.0140280561,-0.18304
253508.0160320641,-0.750464
253509.0180360721,-0.585728
253510.0200400802,-0.585728
253511.0220440882,-0.585728
253512.0240480962,-0.530816
253513.0260521042,-0.4576
253514.0280561122,-0.530816
253515.0300601202,-0.530816
253516.0320641283,-0.768768
253517.0340681363,-0.27456
253518.0360721443,-0.27456
253519.0380761523,-0.27456
253520.0400801603,-0.622336
253521.0420841683,-0.439296
253522.0440881764,-0.475904
253523.0460921844,-0.677248
253524.0480961924,-0.677248
253525.0501002004,-0.677248
253526.0521042084,-0.420992
253527.0541082164,-0.604032
253528.0561122244,-0.64064
253529.0581162325,-0.64064
253530.0601202405,-0.567424
253531.0621242485,-0.567424
253532.0641282565,-0.512512
253533.0661322645,-0.494208
253534.0681362725,-0.494208
253535.0701402806,-0.622336
253536.0721442886,-0.604032
253537.0741482966,-0.530816
253538.0761523046,-0.530816
253539.0781563126,-0.475904
253540.0801603206,-0.439296
253541.0821643287,-0.4576
253542.0841683367,-0.4576
253543.0861723447,-0.4576
253544.0881763527,-0.585728
253545.0901803607,-0.585728
253546.0921843687,-0.54912
253547.0941883768,-0.54912
253548.0961923848,-0.4576
253549.0981963928,-0.622336
253550.1002004008,-0.604032
253551.1022044088,-0.54912
253552.1042084168,-0.439296
253553.1062124248,-0.622336
253554.1082164329,-0.36608
253555.1102204409,-0.604032
253556.1122244489,-0.54912
253557.1142284569,-0.475904
253558.1162324649,-0.512512
253559.1182364729,-0.713856
253560.120240481,-0.695552
253561.122244489,-0.585728
253562.124248497,-0.713856
253563.126252505,-0.585728
253564.1282565130,-0.512512
253565.1302605211,-0.512512
253566.1322645291,-0.585728
253567.1342685371,-0.530816
253568.1362725451,-0.64064
253569.1382765531,-0.347776
253570.1402805611,-0.347776
253571.1422845691,-0.420992
253572.1442885772,-0.420992
253573.1462925852,-0.420992
253574.1482965932,-0.567424
253575.1503006012,-0.475904
253576.1523046092,-0.530816
253577.1543086172,-0.494208
253578.1563126252,-0.402688
253579.1583166333,-0.604032
253580.1603206413,-0.604032
253581.1623246493,-0.64064
253582.1643286573,-0.420992
253583.1663326653,-0.420992
253584.1683366733,-0.420992
253585.1703406814,-0.420992
253586.1723446894,-0.695552
253587.1743486974,-0.530816
253588.1763527054,-0.530816
253589.1783567134,-0.530816
253590.1803607215,-0.695552
253591.1823647295,-0.54912
253592.1843687375,-0.54912
253593.1863727455,-0.329472
253594.1883767535,-0.439296
253595.1903807615,-0.4576
253596.1923847695,-0.494208
253597.1943887775,-0.567424
253598.1963927856,-0.36608
253599.1983967936,-0.512512
253600.2004008016,-0.64064
253601.2024048096,-0.585728
253602.2044088176,-0.585728
253603.2064128256,-0.713856
253604.2084168337,-0.54912
253605.2104208417,-0.54912
253606.2124248497,-0.54912
253607.2144288577,-0.54912
253608.2164328657,-0.622336
253609.2184368738,-0.54912
253610.2204408818,-0.54912
253611.2224448898,-0.54912
253612.2244488978,-0.54912
253613.2264529058,-0.54912
253614.2284569138,-0.677248
253615.2304609219,-0.677248
253616.2324649299,-0.677248
253617.2344689379,-0.4576
253618.2364729459,-0.567424
253619.2384769539,-0.494208
253620.2404809619,-0.54912
